Plot_ID	EP_Plot_ID	Exploratory	Latitude	Longitude	Landuse
A36956	AEG30	ALB	48.46	9.466	Grassland
A36692	AEG16	ALB	48.4	9.466	Grassland
A35767	AEG15	ALB	48.49	9.456	Grassland
A36262	AEW22	ALB	48.38	9.457	Forest
A36277	AEW42	ALB	48.4	9.452	Forest
A35243	AEW38	ALB	48.38	9.452	Forest
A35255	AEW6	ALB	48.39	9.453	Forest
A35283	AEG47	ALB	48.42	9.457	Grassland
A35463	AEG19	ALB	48.4	9.456	Grassland
A34651	AEG6	ALB	48.4	9.442	Grassland
A35042	AEW16	ALB	48.39	9.442	Forest
A34233	AEW37	ALB	48.39	9.446	Forest
A34237	AEG5	ALB	48.4	9.446	Grassland
A34057	AEW26	ALB	48.42	9.446	Forest
A33626	AEG46	ALB	48.4	9.432	Grassland
A33605	AEG44	ALB	48.38	9.436	Grassland
A3271	AEW36	ALB	48.38	9.226	Forest
A3277	AEW44	ALB	48.39	9.224	Forest
A32886	AEG(29)_canceled	ALB	48.47	9.432	Grassland
A32195	AEG39	ALB	48.39	9.436	Grassland
A31470	AEW25	ALB	48.48	9.427	Forest
A32042	AEG38	ALB	48.44	9.434	Grassland
A30535	AEW9	ALB	48.37	9.424	Forest
A30591	AEW5	ALB	48.42	9.414	Forest
A30620	AEW35	ALB	48.45	9.42	Forest
A31160	AEG4	ALB	48.38	9.427	Grassland
A30361	AEG37	ALB	48.4	9.412	Grassland
A29568	AEW47	ALB	48.42	9.416	Forest
A28898	AEW41	ALB	48.36	9.44	Forest
A28932	AEG26	ALB	48.4	9.46	Grassland
A29334	AEW15	ALB	48.39	9.414	Forest
A27281	AEW10	ALB	48.38	9.394	Forest
A28088	AEG41	ALB	48.37	9.46	Grassland
A28098	AEW13	ALB	48.38	9.44	Forest
A25660	AEW8	ALB	48.38	9.382	Forest
A24017	AEW30	ALB	48.37	9.377	Forest
A24657	AEG42	ALB	48.4	9.384	Grassland
A24854	AEG7	ALB	48.39	9.386	Grassland
A25044	AEW43	ALB	48.38	9.382	Forest
A22196	AEW46	ALB	48.39	9.366	Forest
A22610	AEG13	ALB	48.39	9.366	Grassland
A2277	AEG10	ALB	48.38	9.212	Grassland
A23243	AEW32	ALB	48.41	9.377	Forest
A22026	AEG29	ALB	48.42	9.363	Grassland
A21613	AEW3	ALB	48.41	9.366	Forest
A21699	AEG20	ALB	48.49	9.366	Grassland
A21785	AEW29	ALB	48.38	9.363	Forest
A21850	AEG21	ALB	48.44	9.363	Grassland
A20470	AEG11	ALB	48.49	9.356	Grassland
A20690	AEW40	ALB	48.5	9.357	Forest
A20771	AEG12	ALB	48.39	9.352	Grassland
A20965	AEW2	ALB	48.38	9.352	Forest
A19557	AEG1	ALB	48.4	9.346	Grassland
A18422	AEW1	ALB	48.48	9.338	Forest
A18920	AEW14	ALB	48.38	9.344	Forest
A11495	AEG35	ALB	48.48	9.297	Grassland
A12513	AEW24	ALB	48.48	9.296	Forest
A13124	AEG36	ALB	48.48	9.38	Grassland
A16058	AEW20	ALB	48.37	9.328	Forest
A16193	AEW11	ALB	48.49	9.324	Forest
A16389	AEW21	ALB	48.48	9.322	Forest
A13956	AEW28	ALB	48.49	9.316	Forest
A14961	AEW19	ALB	48.48	9.314	Forest
