LAT_SCI_NAME	ENG_NAME	GER_NAME	KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS
Hypnum jutlandicum	heath plait-moss	Gewelltblättriges Gabelzahnmoos	Plantae	Bryophyta	Bryopsida	Hypnales	Hypnaceae	Hypnum
Bryoerythrophyllum recurvirostrum	na	na	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	Bryoerythrophyllum
Dicranoweisia cirrata	common pincushion	na	Plantae	Bryophyta	Bryopsida	Dicranales	Dicranaceae	Dicranoweisia
Pohlia lutescens	yellow thread-moss	Glänzendes Pohlmoos	Plantae	Bryophyta	Bryopsida	Bryales	Bryaceae	Pohlia
Pottia truncata	na	Abgestutztes Pottmoos	Plantae	Bryophyta	Bryopsida	Bryales	Thuidiaceae	Pseudoleskeella
Bryum atrovirens	na	na	Plantae	Bryophyta	Bryopsida	Bryales	Bryaceae	Bryum
Isopterigium elegans	na	na	Plantae	Bryophyta	Bryopsida	Hypnales	Hypnaceae	Isopterigium
Pleuridium acuminatum	taper-leaved earth-moss	na	Plantae	Bryophyta	Bryopsida	Dicranales	Ditrichaceae	Pleuridium
Brachythecium oedipodium	na	na	Plantae	Bryophyta	Bryopsida	Hypnales	Brachytheciaceae	Brachythecium
Leucobryum glaucum	large white-moss	Gemeines Weißmoos, Echtes Weißmoos, Ordenskissenmoos	Plantae	Bryophyta	Bryopsida	Dicranales	Dicranaceae	Leucobryum
Polytrichum juniperinum	juniper haircap moss	Wacholder-Widertonmoos	Plantae	Bryophyta	Bryopsida	Polytrichales	Polytrichaceae	Polytrichum
Sphagnum fallax	na	Trügerisches Torfmoos	Plantae	Bryophyta	Sphagnopsida	Sphagnales	Sphagnaceae	Sphagnum
Sphagnum squarrosum	crome sphagnum, spiky bog-moss, spreading-leaved bog moss	Sparriges Torfmoos	Plantae	Bryophyta	Sphagnopsida	Sphagnales	Sphagnaceae	Sphagnum
Aulacomnium palustre	Ribbed Bog Moss	na	Plantae	Bryophyta	Bryopsida	Bryales	Aulacomniaceae	Aulacomnium
Plagiomnium ellipticum	marsh thyme-moss	na	Plantae	Bryophyta	Bryopsida	Bryales	Mniaceae	Plagiomnium
Marchantia polymorpha	common liverwort, umbrella liverwort	Brunnenlebermoos	Plantae	Bryophyta	Marchantiopsoda	Marchantiales	Marchantiaceae	Marchantia
Cephaloziella	na	na	Plantae	Bryophyta	Jungermanniopsida	Jungermanniales	Cephaloziellaceae	Cephaloziella
Paraleucobryum longifolium	long-leaved fork-moss	Langblättriges Weißgabelzahnmoos	Plantae	Bryophyta	Bryopsida	Dicranales	Dicranaceae	Paraleucobryum
Hedwigia ciliata	Hedwigs fringeleaf moss	Wimpern-Hedwigsmoos	Plantae	Bryophyta	Bryopsida	Leucodontales	Hedwigiaceae	Hedwigia
Grimmia trichophylla	hair-pointed Grimmia	Haarblatt-Kissenmoos	Plantae	Bryophyta	Bryopsida	Grimmiales	Grimmiaceae	Grimmia
Polytrichum commune	Common haircap moss, Common hair moss, great gold headed, Great Goldilocks	Goldenes Frauenhaarmoos, Gemeines Widertonmoos, Gewöhnliches Widertonmoos, Großes Haarmützenmoos	Plantae	Bryophyta	Bryopsida	Polytrichales	Polytrichaceae	Polytrichum
Racomitrium heterostichum	bristly fringe-moss	Ungleichästiges Zackenmützenmoos	Plantae	Bryophyta	Bryopsida	Grimmiales	Grimmiaceae	Racomitrium
Ptilidium ciliare	Northern Naugehyde Liverwort	Behaartes Federchen-Lebermoos, Großes Lebermoos, Sand-Federchen-Lebermoos	Plantae	Bryophyta	Jungermanniopsida	Ptilidiales	Ptilidiaceae	Ptilidium
Cephalozia bicuspidata	na	Zweispitziges Kopfsproßmoos	Plantae	Bryophyta	Jungermanniopsida	Jungermanniales	Cephaloziellaceae	Cephalozia
Dicranum montanum	montane dicranum mos	Berg-Gabelzahnmoos	Plantae	Bryophyta	Bryopsida	Dicranales	Dicranaceae	Dicranum
Atrichum undulatum	undulate atrichum moss, Common Smoothcap moss	Wellenblättriges Katharinenmoos, Kahlmützenmoos	Plantae	Bryophyta	Bryopsida	Polytrichales	Polytrichaceae	Atrichum
Aulacomnium androgynum	bud-headed groove-moss, aulacomnium moss	Mannweibiges Streifensternmoos	Plantae	Bryophyta	Bryopsida	Bryales	Aulacomniaceae	Aulacomnium
Brachythecium rutabulum	Rough-stalked Feather-moss	Gemeine Kurzbüchsenmoos, Krückenförmiges Kurzbüchsenmoos, Kurzkapselmoos, Kegelmoos	Plantae	Bryophyta	Bryopsida	Hypnales	Brachytheciaceae	Brachythecium
